trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-98.18336470134967,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-145.1827595992567,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,6,-65.07571002853032,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-158.96885077510387,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",35,1,-213.46092624992457,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 4}",1
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",35,0,-199.95576178180872,"{0: 20, 1: 1, 2: 10, 3: 2, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-137.05835625230847,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,6.811166908486099,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-73.3571214188756,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",30,0,-17.45288314200025,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-157.7843482214712,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,9,-3.9501621883579148,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,9,-109.40004986166021,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,8,-21.446022036607335,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,5,-16.2190561504237,"{0: 11, 1: 3, 2: 0, 3: 1, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,7,8.188558000479002,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,-55.331580459936404,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,6,6.245753301171005,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,7,-60.74697042625084,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,10,-22.9359574207311,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'e': 0, 'a': 0}",25,14,16.2671381092661,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,0,-103.27545621605698,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",20,5,-24.196926396874304,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",30,6,3.737764128955113,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",30,14,6.337099150300434,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",30,0,-2.758302344658949,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'e': 0, 'a': 0}",30,3,12.372684907128978,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,10,28.09320251331968,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",30,0,-20.96154840040969,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,True,"{'e': 0, 'a': 0}",20,9,-19.76471400052098,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
