trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99, 'a': 0.5}",20,0,-58.64376091484687,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
2,False,"{'e': 0.9801, 'a': 0.5}",25,0,-227.48398385823478,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
3,False,"{'e': 0.9702989999999999, 'a': 0.5}",25,0,-125.14158384802917,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'e': 0.96059601, 'a': 0.5}",20,0,-149.41372597739056,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
5,False,"{'e': 0.9509900498999999, 'a': 0.5}",25,0,-137.11284863395247,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
6,False,"{'e': 0.9414801494009999, 'a': 0.5}",25,0,-56.31853510117815,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'e': 0.9320653479069899, 'a': 0.5}",25,0,-67.24257435847423,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'e': 0.92274469442792, 'a': 0.5}",25,0,-111.38872821769296,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
9,False,"{'e': 0.9135172474836407, 'a': 0.5}",20,0,-34.17131896912331,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'e': 0.9043820750088043, 'a': 0.5}",20,0,-89.73121585730696,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
11,False,"{'e': 0.8953382542587163, 'a': 0.5}",25,0,-90.90449399636609,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'e': 0.8863848717161291, 'a': 0.5}",25,0,-213.2372728192583,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
13,False,"{'e': 0.8775210229989678, 'a': 0.5}",25,0,-158.36731438294953,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
14,False,"{'e': 0.8687458127689781, 'a': 0.5}",30,0,-222.88825030407696,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
15,False,"{'e': 0.8600583546412883, 'a': 0.5}",25,0,-61.15666893609702,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
16,False,"{'e': 0.8514577710948754, 'a': 0.5}",20,0,-34.05578855324844,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
17,False,"{'e': 0.8429431933839266, 'a': 0.5}",20,0,-161.77991197176178,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'e': 0.8345137614500874, 'a': 0.5}",20,0,-181.9856069421577,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
19,False,"{'e': 0.8261686238355865, 'a': 0.5}",25,0,-104.32885715025027,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'e': 0.8179069375972307, 'a': 0.5}",20,0,-106.12217109326143,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
21,False,"{'e': 0.8097278682212583, 'a': 0.5}",30,0,-201.48985246625122,"{0: 14, 1: 5, 2: 5, 3: 5, 4: 1}",0
22,False,"{'e': 0.8016305895390458, 'a': 0.5}",30,0,-139.29049172284843,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
23,False,"{'e': 0.7936142836436553, 'a': 0.5}",30,0,-136.02226789971203,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
24,False,"{'e': 0.7856781408072188, 'a': 0.5}",30,0,-172.62720060260114,"{0: 14, 1: 2, 2: 12, 3: 1, 4: 1}",0
25,False,"{'e': 0.7778213593991465, 'a': 0.5}",25,0,-148.39675452514763,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
26,False,"{'e': 0.7700431458051551, 'a': 0.5}",25,0,-12.93095614320303,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
27,False,"{'e': 0.7623427143471035, 'a': 0.5}",25,0,-96.50080516033223,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
28,False,"{'e': 0.7547192872036325, 'a': 0.5}",35,0,-110.83778389669547,"{0: 24, 1: 1, 2: 7, 3: 3, 4: 0}",0
29,False,"{'e': 0.7471720943315961, 'a': 0.5}",25,0,-30.81973812329652,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
30,False,"{'e': 0.7397003733882802, 'a': 0.5}",25,0,-74.40546548224565,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
31,False,"{'e': 0.7323033696543974, 'a': 0.5}",30,8,-50.99840094643148,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
32,False,"{'e': 0.7249803359578534, 'a': 0.5}",20,0,-92.26612860127445,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,False,"{'e': 0.7177305325982748, 'a': 0.5}",30,13,-52.69997779672164,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
34,False,"{'e': 0.7105532272722921, 'a': 0.5}",20,12,-79.79965412571127,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
35,False,"{'e': 0.7034476949995692, 'a': 0.5}",25,8,-97.51967503094886,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
36,False,"{'e': 0.6964132180495735, 'a': 0.5}",25,0,-67.2367800649181,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
37,False,"{'e': 0.6894490858690777, 'a': 0.5}",20,0,-69.0785020739885,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
38,False,"{'e': 0.682554595010387, 'a': 0.5}",25,14,15.745467615030869,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'e': 0.6757290490602831, 'a': 0.5}",25,2,-130.6493108482419,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
40,False,"{'e': 0.6689717585696803, 'a': 0.5}",30,0,-149.76077480405675,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
41,False,"{'e': 0.6622820409839835, 'a': 0.5}",20,11,-48.11763975079215,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
42,False,"{'e': 0.6556592205741436, 'a': 0.5}",30,0,-167.01021661881256,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
43,False,"{'e': 0.6491026283684022, 'a': 0.5}",20,5,-64.4936836783847,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
44,False,"{'e': 0.6426116020847181, 'a': 0.5}",25,0,-20.892415760759654,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
45,False,"{'e': 0.6361854860638709, 'a': 0.5}",20,0,-41.959136916241505,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
46,False,"{'e': 0.6298236312032323, 'a': 0.5}",30,22,6.66988720825272,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'e': 0.6235253948912, 'a': 0.5}",20,0,-108.13847616224699,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
48,False,"{'e': 0.617290140942288, 'a': 0.5}",20,0,-59.52649848281536,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
49,False,"{'e': 0.6111172395328651, 'a': 0.5}",20,0,-36.186116417351215,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
50,False,"{'e': 0.6050060671375365, 'a': 0.5}",20,6,2.974517636535146,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'e': 0.5989560064661611, 'a': 0.5}",20,6,-94.29525322285099,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
52,False,"{'e': 0.5929664464014994, 'a': 0.5}",30,0,-33.789190593799276,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
53,False,"{'e': 0.5870367819374844, 'a': 0.5}",20,0,-71.39724211985211,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
54,False,"{'e': 0.5811664141181095, 'a': 0.5}",20,0,-35.976727911697246,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
55,False,"{'e': 0.5753547499769285, 'a': 0.5}",25,0,-67.2988866403106,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
56,False,"{'e': 0.5696012024771592, 'a': 0.5}",20,0,-28.686303005475807,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
57,False,"{'e': 0.5639051904523876, 'a': 0.5}",20,7,-61.50219153887463,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
58,False,"{'e': 0.5582661385478638, 'a': 0.5}",25,8,-28.63072875724525,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'e': 0.5526834771623851, 'a': 0.5}",20,0,-6.294460326141533,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
60,False,"{'e': 0.5471566423907612, 'a': 0.5}",20,9,-23.113988723364805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'e': 0.5416850759668536, 'a': 0.5}",25,7,5.693286605085277,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'e': 0.536268225207185, 'a': 0.5}",30,0,11.96331224298051,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
63,False,"{'e': 0.5309055429551132, 'a': 0.5}",20,5,-14.070758868724266,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
64,False,"{'e': 0.525596487525562, 'a': 0.5}",25,0,-57.96772745204351,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
65,False,"{'e': 0.5203405226503064, 'a': 0.5}",20,0,-14.802392823299755,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'e': 0.5151371174238033, 'a': 0.5}",20,0,-39.475634489815796,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
67,False,"{'e': 0.5099857462495653, 'a': 0.5}",30,19,0.9729103044985603,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'e': 0.5048858887870696, 'a': 0.5}",25,0,-74.01537641054696,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
69,False,"{'e': 0.4998370298991989, 'a': 0.5}",30,2,-50.68139062298164,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 1}",1
70,False,"{'e': 0.49483865960020695, 'a': 0.5}",20,14,3.502058928725334,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.4898902730042049, 'a': 0.5}",20,0,-40.282660096234835,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'e': 0.48499137027416284, 'a': 0.5}",25,8,-13.514022481994465,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'e': 0.4801414565714212, 'a': 0.5}",25,8,19.46173587808542,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'e': 0.475340042005707, 'a': 0.5}",20,14,-33.06913181032026,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
75,False,"{'e': 0.47058664158564995, 'a': 0.5}",20,14,10.059027007678127,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.4658807751697934, 'a': 0.5}",20,6,-13.357460592856787,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
77,False,"{'e': 0.4612219674180955, 'a': 0.5}",30,14,-6.2210167682704745,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
78,False,"{'e': 0.45660974774391455, 'a': 0.5}",30,0,-63.695952503501005,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
79,False,"{'e': 0.4520436502664754, 'a': 0.5}",20,0,-15.450297107739324,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
80,False,"{'e': 0.44752321376381066, 'a': 0.5}",25,0,-10.883480646596261,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
