trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-129.28626716278777,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-154.151783357215,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",35,0,-168.78193198155776,"{0: 24, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,0,-134.55072065637285,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",30,0,-132.9952695795295,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,0,-218.25809022946083,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-198.77287346324533,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,7,-87.12829559928245,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 0}",1
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-76.21610795236735,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-149.77015684605013,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-167.89787910425085,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,-222.3096482326135,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,-102.09871929846473,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-152.12715404875087,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,0,-59.32013575952343,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,4,-23.81270500527752,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",30,0,-185.03158451391823,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-163.39634482060038,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,-68.9939890760514,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",30,0,-211.23554069666636,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
1,True,"{'e': 0, 'a': 0}",20,0,-90.03972885999835,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",20,0,-105.55360284207993,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",30,0,-238.4314286264506,"{0: 17, 1: 1, 2: 5, 3: 4, 4: 3}",0
4,True,"{'e': 0, 'a': 0}",35,9,-87.71865221766707,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 1}",1
5,True,"{'e': 0, 'a': 0}",25,0,-141.45885266035236,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,True,"{'e': 0, 'a': 0}",25,0,-182.47367174951074,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
7,True,"{'e': 0, 'a': 0}",20,5,-86.43716358891365,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
8,True,"{'e': 0, 'a': 0}",20,14,-22.72145995646122,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,0,-129.79699201551853,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
10,True,"{'e': 0, 'a': 0}",20,0,-109.57971418617487,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
